scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
global,wcov,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/global_wcov_age_bonferroni.nii.gz,0.009033441292386936
global,wcov,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/global_wcov_age_fdr05.nii.gz,0.05370312560970851
global,wcov,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/global_wcov_age_unadjusted.nii.gz,0.17496195418894134
global,wcov,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/global_wcov_sex_bonferroni.nii.gz,2.536387403909939e-4
global,wcov,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/global_wcov_sex_fdr05.nii.gz,0.010184570960315293
global,wcov,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/global_wcov_sex_unadjusted.nii.gz,0.13760877199828306
global,wcov,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/global_wcov_sex-age_bonferroni.nii.gz,0
global,wcov,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/global_wcov_sex-age_fdr05.nii.gz,0
global,wcov,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/global_wcov_sex-age_unadjusted.nii.gz,0.059839232059936784
unscaled,wcor,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/unscaled_wcor_age_bonferroni.nii.gz,8.682249190307098e-4
unscaled,wcor,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/unscaled_wcor_age_fdr05.nii.gz,0.0071994380926366725
unscaled,wcor,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/unscaled_wcor_age_unadjusted.nii.gz,0.10597221680259102
unscaled,wcor,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/unscaled_wcor_sex_bonferroni.nii.gz,2.926600850665314e-5
unscaled,wcor,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/unscaled_wcor_sex_fdr05.nii.gz,4.87766808444219e-5
unscaled,wcor,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/unscaled_wcor_sex_unadjusted.nii.gz,0.07692082569165333
unscaled,wcor,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_bonferroni.nii.gz,0
unscaled,wcor,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_fdr05.nii.gz,0
unscaled,wcor,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/adjusted/unscaled_wcor_sex-age_unadjusted.nii.gz,0.05476645725211691
alff,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_age_bonferroni.nii.gz,0.4143286377648574
alff,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_age_fdr05.nii.gz,0.8057322355328365
alff,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_age_unadjusted.nii.gz,0.8143657080422991
alff,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_sex_bonferroni.nii.gz,0.10171889023295742
alff,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_sex_fdr05.nii.gz,0.7060912319038514
alff,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_sex_unadjusted.nii.gz,0.7347231435595271
alff,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_sex-age_bonferroni.nii.gz,0
alff,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_IDEMO_ISLA/output/niftis/pvals/modality_adjusted/alff_sex-age_fdr05.nii.gz,0
